"Il est intéressant à ce propos de rappeler les réflexions de Jean-Claude Passeron dans <em>Le raisonnement sociologique</em> "	"(2006)"	" Cet auteur montre bien comment la grille de lecture kuhnienne projetée sur les sciences sociales tend à les lire au travers d’un mode de scientificité qui n’est pas le leur, et conduit souvent à les penser par l’intermédiaire du motif récurent d’une science encore imparfaite mais qui va advenir."	"TxtTheseDiscussion"	"Discu1"	"Pas1a"
"Il est tentant pour un chercheur qui a essayé de construire ses propres définitions et l’ensemble d’un système conceptuel de croire « toucher à la terre promise d’une langue protocolarisée qui aurait enfin les vertus d’un paradigme durable » "	"(J. Passeron 2006, 564)"	" . Toutefois, les SHS repose avant tout sur l’élasticité du « langage naturel » qui leur est indispensable pour rapprocher des situations empiriques hétérogènes et créer des intelligibilités du réel."	"TxtTheseDiscussion"	"Discu2"	"Pas1b"
"« Ce ne sont pas les liens logiques qui nouent l’essentiel de la connaissance mais les liens typologiques » "	"(J. Passeron 2006, 589)"	" qui rapprochent des cas de manière toujours imparfaite."	"TxtTheseDiscussion"	"Discu2"	"Pas1b"
"L’essentiel des raisonnements des SHS ne peut « aligner ses opérations sur des modèles discursifs qui lui sont inaccessibles, comme ceux de la déduction et de l’induction » "	"(Passeron 2006, 365)"	". Cette affirmation permet également de relire ce qui a constitué le cœur de l’évolution de la géographie française des années 1960-1970."	"TxtTheseDiscussion"	"Discu4"	"Pas1f"
"Ce titre reprend la formulation du titre secondaire de l’ouvrage de Jean-Claude Passeron "	"(2006)"	" : Le raisonnement sociologique : un espace non-poppérien de l’argumentation"	"TxtTheseDiscussion"	"Discu2"	"fn3"
"« Les 'faits' sociaux élémentaires ne peuvent être définis univoquement à partir de 'monèmes' comme on peut le faire pour les phonèmes d’une langue naturelle par la 'commutation' »"	"(Passeron 2006, 573)"	""	"TxtTheseDiscussion"	"Discu3"	"fn8"
