"Chapitre état des lieux : Il met également en évidence une évolution de ce modèle (Boèce, Thomas d’Aquin, Ogden et Richards) jusqu’à son durcissement « par le positivisme logique qui exprime un idéal de correspondance si l’on peut dire terme à terme entre un mot, un concept et un objet » "	"(Rastier,1995)"	". Une telle conception s’applique difficilement au langage naturel."	"EtatDesLieux"	""	"Ras1a"
"Chapitre Construction des résultats :La citation de François Rastier, précédemment développée, mettant en avant un durcissement des sémantiques référentielles « par le positivisme logique qui exprime un idéal de correspondance si l’on peut dire terme à terme entre un mot, un concept et un objet »  "	"(Rastier, 1995)"	" permet de comprendre ce lien.."	"TxtTheseConstructResult"	""	"Ros1b"
