"Les analogies qui peuvent être résolues sont multiples. Un test connu "	"(Gladkova, Drozd, et Matsuoka 2016)"	" permettant d’évaluer les plongements de mots donne un aperçu de cette diversité"	"EtatDesLieux"	"PrincipPlong"	"Gla1a"
"Par rapport au test précédent "	"(Gladkova, Drozd, et Matsuoka 2016)"	",des gains pour les analogies lexicographiques et encyclopédiques peuvent être observées, passant respectivement à 11 % et 31,5 %."	"EtatDesLieux"	"GloveFast"	"Gla1b"
"Dans la pratique, l’étude de Zucherman et al. (2019) montre que les résultats ainsi obtenus par exemple sur le test de résolution d’analogies "	"(Gladkova, Drozd, et Matsuoka 2016)"	" sont moins bons qu’avec des algorithmes classiques de plongement de mots."	"EtatDesLieux"	"GraphEtContext"	"Gla1c"
