"En effet, une recherche importante avait été réalisée en reprenant et développant une méthode pour suivre l’évolution de clusters dans le temps "	"(Dugué et al., 2016b)"	"Cette partie est détaillée par la suite (cf. section Chap7.III.3)."	"EtatDesLieux"	"Methodo"	"Dug2b"
"Dans l’implémentation de Diachronic’Explorer réalisée par Nicolas Dugué, ces probabilités correspondent à des moyennes harmoniques des mesures de rappel et des mesures de prédominance"	"(Dugué et al., 2016b)"	"Ces calculs n’ayant pas été utilisés dans cette thèse, ils ne sont pas ici détaillés."	"TxtTheseConstructResult"	"ApprReti3Diachro1"	"Lam1"
"Diachronic’Explorer fournit ensuite une méthode pour sélectionner les liens les plus importants. Cette méthode n’ayant pas été retenue dans cette thèse, elle n’est pas ici détaillée. Le lecteur intéressé par ce sujet est invité à consulter la publication suivante : "	"(Dugué et al., 2016b)"	"Le processus de sélection des liens les plus importants qui a été choisi ici repose sur la possibilité laissée à l’utilisateur au moment de la visualisation de choisir un seuil de manière interactive."	"TxtTheseConstructResult"	"ApprReti3Diachro1"	"Dug2a"
